municipality_name,Latitude,Longitude
Bojadła,51.9529445,15.8095139
Czerwieńsk,52.0130585,15.4211463
Kargowa,52.0719225,15.8648044
Nowogród Bobrzański,51.7986474,15.2365032
Sulechów,52.0854782,15.6259091
Świdnica,51.0740352,16.677606
Trzebiechów,52.0226174,15.7357566
Zabór,51.9510931,15.7143816
Gozdnica,51.4373182,15.0960336
Żagań,51.6148068,15.3203721
Brzeźnica,51.2705207,20.4820359
Iłowa,51.5006828,15.1984599
Małomice,51.5550002,15.4472908
Niegosławice,51.5878011,15.715295
Szprotawa,51.5650714,15.5367584
Wymiarki,54.085,21.39
Żagań,51.6148068,15.3203721
Łęknica,51.54731655,14.754084214502885
Żary,51.6385162,15.1422487
Brody,51.7867086,14.7743044
Jasień,51.7515442,15.0123351
Lipinki Łużyckie,51.6387408,15.0044436
Lubsko,51.7881902,14.9721266
Przewóz,51.604476,21.5727516
Trzebiel,51.6350388,14.8183696
Tuplice,51.674646,14.8312165
Żary,51.6385162,15.1422487
Sława,51.8807001,16.0702499
Szlichtyngowa,51.7140748,16.2445989
Wschowa,51.8038354,16.3172771
Gorzów Wielkopolski,52.7309926,15.2400451
Zielona Góra,51.9383777,15.5050408
Bełchatów,51.354704600000005,19.376919902970144
Bełchatów,51.354704600000005,19.376919902970144
Drużbice,51.4633191,19.3942112
Kleszczów,51.22165,19.30628
Kluki,52.1412644,21.5370657
Rusiec,51.32452,18.98603
Szczerców,51.3302964,19.1142823
Zelów,51.4650276,19.2195805
Kutno,52.2220021,19.387595057455435
Bedlno,52.2082323,19.5762485
Dąbrowice,52.3156388,19.08451
Krośniewice,52.2560639,19.1689326
Krzyżanów,52.18749,19.44672
Kutno,52.2220021,19.387595057455435
Łanięta,52.36303,19.28277
Nowe Ostrowy,52.3027318,19.1920637
Oporów,52.2616821,19.5555909
Strzelce,50.9092715,16.662178
Żychlin,52.2440088,19.6260932
Buczek,51.8341769,19.6798145
Łask,51.5929947,19.1334784
Sędziejowice,51.5115803,19.0273793
Widawa,51.4375,18.94412
Wodzierady,51.71858,19.15074
Łęczyca,51.5244724,16.5704648
Daszyna,52.1555452,19.1841981
Góra Świętej Małgorzaty,52.0554474,19.3204013
Grabów,52.12736,19.00855
Łęczyca,51.5244724,16.5704648
Piątek,52.0689883,19.4799726
Świnice Warckie,52.04086,18.91984
Witonia,52.1469973,19.2943318
Łowicz,52.1012259,19.9474623726871
Bielawy,52.0750602,19.6568518
Chąśno,52.1855642,19.9312782
Domaniewice,51.7209597,20.95664
Kiernozia,52.2687653,19.8710998
Kocierzew Południowy,52.2164002,20.0192169
Łowicz,52.1012259,19.9474623726871
Łyszkowice,51.9838704,19.9093515
Nieborów,52.0710912,20.0702329
Zduny,51.6463268,17.377617
Andrespol,51.7253891,19.638648
Brójce,51.6639062,19.6482548
Koluszki,51.7444956,19.817966
Nowosolna,51.7937406,19.590147
Rzgów,51.6627785,19.4908887
Tuszyn,51.60565655,19.543815697033963
Białaczów,51.298466,20.2949544
Drzewica,51.4508384,20.4773617
Mniszków,50.86039,15.94417
Opoczno,51.3782439,20.2931754
Paradyż,51.30598,20.11393
Poświętne,51.4746285,21.3676912
Sławno,54.3629824,16.6789071
Żarnów,51.2479931,20.1720504
Konstantynów Łódzki,51.75721335,19.308241169771144
Pabianice,51.6639859,19.3535024
Dłutów,51.5564392,19.3928332
Dobroń,51.63382,19.24516
Ksawerów,51.7948298,19.6740915
Lutomiersk,51.7550121,19.2120994
Pabianice,51.6639859,19.3535024
Działoszyn,51.1168037,18.8651633
Kiełczygłów,51.2385304,18.9862863
Nowa Brzeźnica,51.0790727,19.1800856
Pajęczno,51.1468824,18.9956984
Rząśnia,51.2217666,19.0423184
Siemkowice,51.2033037,18.901088
Strzelce Wielkie,51.13968,19.14338
Sulmierzyce,51.61613,17.534500781817073
Aleksandrów,52.3046139,19.9520132
Czarnocin,52.3503333,21.7067972
